name	Full_HA_SI06_H1_avg_enrich_normalized	Full_HA_MI15_H1_avg_enrich_normalized	Full_HA_SP16_H3_avg_enrich_normalized	Full_HA_QH_H5_avg_enrich_normalized	Full_HA_SH_H7_avg_enrich_normalized	Full_HA_Phu_FluB_avg_enrich_normalized	Full_HA_Lee_FluB_avg_enrich_normalized	Full_HA_H1_stem_avg_enrich_normalized	Full_HA_H3_stem_avg_enrich_normalized	CR9114_compitition_SI06_H1_avg_enrich_normalized	CR9114_compitition_MI15_H1_avg_enrich_normalized	CR9114_compitition_QH_H5_avg_enrich_normalized	CR9114_compitition_SH_H7_avg_enrich_normalized	CR9114_compitition_Phu_FluB_avg_enrich_normalized	CR9114_compitition_Lee_FluB_avg_enrich_normalized
W85-1F04	0.3899848425931004	1.0110240709537999	0.1777942019618661	0.325992512923271	1.2710411979508023	0.1018324651057776	0.34972768306886437	0.43854156309150377	-0.1902553589547031	0.2959165014442293	0.7697971446821552	0.9381860133389273	0.3216270908544652	0.47170082135423325	0.15838277278961083
042-100809-3G04	0.8389797234893995	0.4396273646055171	0.6242064472926181	9.218722089247448	0.11921429747714853	73.11459721344048	135.675435812804	-0.44297993941506114	-0.4588543198443907	-0.21547665179767928	1.2117700677025052	1.5214203219884315	0.770686771791549	12.725807511623909	1.3362165275245383
C2-3-G03	118.33715928455683	-0.5114708693793102	0.034293413698306435	0.021795382846827305	-0.582204015225708	0.9126496020333283	0.19329107067408172	-0.6688670194867157	1.337236878091688	171.73799576931444	1.5058841167961847	1.143197648609985	1.0235547774531732	2.794569436235361	-0.030975513865793523
R95-1D06	-0.1248106998013725	-0.08354280282338811	0.04545571146949668	-0.021357381382783563	-0.011089575846468299	9.721911808083663	3.6312566069730727	0.128360029725644	-0.6137716986248827	-0.1886038273458508	-0.14529101617554455	-0.5048442652303575	-0.7834087487835393	1.510411225444531	0.4155208470195125
SFV019-4E01	0.6803612164347032	0.7928976096323702	0.7997918301717422	0.3233370511798101	0.7121166744530492	-0.086844575989477	-0.08254619464669931	0.16850904916443157	-0.2400303268857683	-0.009249695186267878	0.19313733266656513	0.21110156177849446	-0.5960663585708775	-0.3409168849962004	-0.33996175052843075
051-09-5D01	0.9061847997660937	0.2849382151184814	-0.3664609638872319	0.09906286500961027	-0.3264974562638935	-0.2609756142127337	0.689542681542895	-0.7027259685834327	-0.42996934273326415	1.8325237587848515	42.65957583530223	0.50338355874968	-0.4229560015488978	-0.3280657380106217	-0.6455118545170909
024-10128-3E01	-0.13515164081718123	-0.2549921968031844	-0.20271241810228263	-0.2698344166968382	-0.28462460477991897	-0.2123472035217198	-0.2945538719605764	-0.49827964051805146	-0.44088425955386057	-0.035998093030070774	-0.0716571617471522	-0.03140000071696289	-0.5684054281068921	-0.21798912514647045	-0.10970543657631425
R95-2A07	0.4488229076483883	0.7106668186978706	-0.17822293337997916	2.694679537188877	-0.04957482584353052	9.456663278379004	28.716066217349937	-0.17110585355413965	1.4356054910649052	-0.21523370676520998	0.45350002818673785	-0.3929502935135506	-0.6007754491740108	-0.1345762197300496	3.7657158385911753
K77-1F06	-0.12607008448934282	0.2952283477444635	0.4113950520593007	0.04550402154383191	0.06222722128797339	-0.4191156818427807	20.69604734265783	0.004301772104776001	-0.5123489156510304	0.12792801890125138	0.9463139774379705	0.2568040137441993	0.7915877532051684	-0.043074086788045	16.251155991602435
K77-1F11	0.6524738902813948	1.1107354131929852	1.0883282006858372	0.294306286804633	1.5308062591411526	0.2421677274358829	0.19355626273042234	0.19942536736649877	-0.08769676928711027	0.4750517302490301	0.8251334344997838	0.42784702664847574	1.5911434513334775	0.3511387223721551	0.2998530223540608
019-10117-3C04	-0.3642221491674543	-0.40288075085937786	-0.3238617555631032	0.25504025283899157	-0.7371236578404489	5.976877370553179	3.163929535954406	-1.1255623738608713	-0.025999111568276265	-0.7547075907490093	-0.3527100730052254	0.21360344667199263	0.47443174539079874	3.3510603695036862	0.02548576724148487
AG13-3G01	-0.04909863940500348	-0.08696408805065002	-0.18602925682910798	73.95785595207639	0.008014551501121622	118.60290785750358	2.623997108843497	-0.6739025077034464	-0.7977707177841813	0.9826300508451397	4.5920372640523395	152.67847119727944	8.109953370563217	272.3855574034245	2.5570319143761884
01.i.01	0.1342044991481657	0.3836740595148772	1.8701311075653275	-0.2756027884930882	0.6495009330162557	0.1614600766563329	-0.2695468941038098	-0.14245578258538488	-0.08504499575633637	0.29568899722935377	-0.128652352713853	0.11043493741146244	0.6630304871846397	0.018527894321339396	0.6362606467805647
W85-3B09	-0.12932058925389928	-0.4032803338750177	-0.039423330309578716	-0.2634595283040179	-0.18695223775908243	-0.282922199212243	-0.30131934701478363	-0.12286888176320951	-0.2931080720552011	-0.23770567972644452	0.0019641944760380755	-0.22775575385506672	-0.326392426429158	-0.2941876865441822	-0.3531585951775914
008-10-5E02	1.4694335571276056	0.5179021791728363	0.467499775928821	0.00891192870497773	-0.4306643591354314	-0.2948949664716644	-0.3469987218895916	0.8264519185877478	7.990715001476281	4.446990786793086	17.981325926009195	0.6292742419077975	-0.8411730155238281	-0.27315825331669924	0.14444747523633011
029-09-3A02	-0.15746896837738003	1.213138649029616	-0.06504778361697618	-0.054757775600439415	-0.24477239720596577	-0.3475451147647835	-0.004083794145617508	0.5399813376382222	-0.1271635179747008	0.4115260824207594	38.92079158529316	-0.1836478467936563	-0.5546035694758207	-0.33305725996142327	-0.5157760743925223
014-10-1G06	0.5920691580767469	2.2835296575848267	1.1938505953362641	1.598634747022342	2.270626429353561	0.6761785704869132	0.44742108467119507	0.1441632979032468	0.2953087245842562	0.7366581321039078	0.17539311784846934	0.7497359182444193	-0.7362743668890658	2.0011494061133024	1.207583777984136
AG11-2A01	-0.5133079691112038	-0.4602620691330609	-0.47016621267496905	-0.5605430931089517	-0.6063651821082304	1.9201918161471832	-0.32723682401916276	-1.2204903878177913	0.16116712427835186	-0.36487704506098195	-0.0427910079015677	-0.7968095967641257	-0.605135794194677	0.7825919589058464	0.09597711319441685
150055-015-1D02	-0.3108287054738119	0.45387467697479195	0.7834601296693186	1.2438290709439637	-0.060614730428304966	0.29444249306550374	258.3921794029974	-0.4591166409698386	-0.6685906269853668	1.8673974500223767	0.9554513538012067	-0.2703487016990847	1.332554537630992	1.1860934493332869	92.8889490416691
011-10069-2G04	0.8337646620425253	0.34767192093317245	2.2934587438961334	18.956365528981408	0.25680361438447724	56.6232205697951	69.71774494646274	3.469737731230754	2.0471598793434502	0.011054304060522106	2.995081770059774	6.887873008746376	1.067112222888823	44.186576093769055	1.2112807116805995
SFV020-5C05	-0.19856508406415724	0.18249985016331394	-0.06117257797812978	-0.3048398786127342	-0.1487715954945928	-0.29404838235661745	-0.07148891672771454	0.37772794828310363	0.18947131473907208	0.20476141787135163	8.907366358836537	-0.029730191543438228	-0.24549843745586486	0.06739628965549105	-0.4733369243076741
C1-2D03	1.0996990558799682	0.006497236397796274	0.0647591318951376	5.698994566662993	-0.3662099375756648	47.605157388859034	80.36519434131718	0.33033097611992396	0.28632332808912764	-0.1735100872839729	-0.2773576871189394	1.906939109551203	-0.4122397365703392	23.392943784267104	1.7929245374970886
R95-2G09	-0.02614168294530195	0.22140035754380374	0.4147058991426829	0.07805038399232728	0.23434981245118533	-0.27952365758300435	14.173205903795612	0.18410398655416865	-0.5089559275341321	0.46735735528253625	0.0774900112639628	0.3980294783394036	-0.34856968758479073	0.08095959982735686	4.653356776274363
