closest_abs	Full_HA_SI06_H1_avg_enrich	Full_HA_MI15_H1_avg_enrich	Full_HA_SP16_H3_avg_enrich	Full_HA_QH_H5_avg_enrich	Full_HA_SH_H7_avg_enrich	Full_HA_Phu_FluB_avg_enrich	Full_HA_Lee_FluB_avg_enrich	Full_HA_H1_stem_avg_enrich	Full_HA_H3_stem_avg_enrich	CR9114_compitition_SI06_H1_avg_enrich	CR9114_compitition_MI15_H1_avg_enrich	CR9114_compitition_QH_H5_avg_enrich	CR9114_compitition_SH_H7_avg_enrich	CR9114_compitition_Phu_FluB_avg_enrich	CR9114_compitition_Lee_FluB_avg_enrich	Full_HA_SI06_H1_avg_enrich_normalized	Full_HA_MI15_H1_avg_enrich_normalized	Full_HA_SP16_H3_avg_enrich_normalized	Full_HA_QH_H5_avg_enrich_normalized	Full_HA_SH_H7_avg_enrich_normalized	Full_HA_Phu_FluB_avg_enrich_normalized	Full_HA_Lee_FluB_avg_enrich_normalized	Full_HA_H1_stem_avg_enrich_normalized	Full_HA_H3_stem_avg_enrich_normalized	CR9114_compitition_SI06_H1_avg_enrich_normalized	CR9114_compitition_MI15_H1_avg_enrich_normalized	CR9114_compitition_QH_H5_avg_enrich_normalized	CR9114_compitition_SH_H7_avg_enrich_normalized	CR9114_compitition_Phu_FluB_avg_enrich_normalized	CR9114_compitition_Lee_FluB_avg_enrich_normalized	Full_HA_H1_stem_avg_enrich_normalized_capped	Full_HA_H3_stem_avg_enrich_normalized_capped	Full_HA_SI06_H1_avg_enrich_normalized_capped	CR9114_compitition_SI06_H1_avg_enrich_normalized_capped	Full_HA_MI15_H1_avg_enrich_normalized_capped	CR9114_compitition_MI15_H1_avg_enrich_normalized_capped	Full_HA_SP16_H3_avg_enrich_normalized_capped	Full_HA_QH_H5_avg_enrich_normalized_capped	CR9114_compitition_QH_H5_avg_enrich_normalized_capped	Full_HA_SH_H7_avg_enrich_normalized_capped	CR9114_compitition_SH_H7_avg_enrich_normalized_capped	Full_HA_Phu_FluB_avg_enrich_normalized_capped	CR9114_compitition_Phu_FluB_avg_enrich_normalized_capped	Full_HA_Lee_FluB_avg_enrich_normalized_capped	CR9114_compitition_Lee_FluB_avg_enrich_normalized_capped
W85-1F04	0.13869825893934604	1.1206176459508734	0.2460574316820948	0.2737842610842053	1.6353719315982078	0.0854731133105539	0.12498627649442018	0.682326884	0.091428517	0.20917765237319863	0.17286678031712668	0.6628869209233055	1.0075700498344318	0.21599505848697492	0.7602066956338229	0.3899848425931004	1.0110240709537999	0.1777942019618661	0.325992512923271	1.2710411979508023	0.1018324651057776	0.34972768306886437	0.43854156309150377	-0.1902553589547031	0.2959165014442293	0.7697971446821552	0.9381860133389273	0.3216270908544652	0.47170082135423325	0.15838277278961083	0.43854156309150377	-0.1902553589547031	0.3899848425931004	0.2959165014442293	1.0110240709537999	0.7697971446821552	0.1777942019618661	0.325992512923271	0.9381860133389273	1.2710411979508023	0.3216270908544652	0.1018324651057776	0.47170082135423325	0.34972768306886437	0.15838277278961083
042-100809-3G04	0.1910678818267821	0.8239237431691007	0.38696704031519	2.5267169680335515	0.8338779295967074	10.026770796146256	20.04629934971531	0.411393229	0.067233706	0.1292317109340482	0.22551438415902947	0.8249390823801086	1.1780483408180578	2.171442633679211	1.1514855303275662	0.8389797234893995	0.4396273646055171	0.6242064472926181	9.218722089247448	0.11921429747714853	73.11459721344048	135.675435812804	-0.44297993941506114	-0.4588543198443907	-0.21547665179767928	1.2117700677025052	1.5214203219884315	0.770686771791549	12.725807511623909	1.3362165275245383	-0.44297993941506114	-0.4588543198443907	0.8389797234893995	-0.21547665179767928	0.4396273646055171	1.2117700677025052	0.6242064472926181	9.218722089247448	1.5214203219884315	0.11921429747714853	0.770686771791549	50	12.725807511623909	50	1.3362165275245383
C2-3-G03	13.895757212114578	0.3300723718981396	0.2007615417860254	0.19671729780512745	0.34579888725608154	0.19587263800086072	0.1019572247739378	0.341967342	0.2290217	27.010667548096983	0.26054910944311443	0.7198495826302214	1.2740456152998685	0.5866665333865858	0.6973014770965899	118.33715928455683	-0.5114708693793102	0.034293413698306435	0.021795382846827305	-0.582204015225708	0.9126496020333283	0.19329107067408172	-0.6688670194867157	1.337236878091688	171.73799576931444	1.5058841167961847	1.143197648609985	1.0235547774531732	2.794569436235361	-0.030975513865793523	-0.6688670194867157	1.337236878091688	50	50	-0.5114708693793102	1.5058841167961847	0.034293413698306435	0.021795382846827305	1.143197648609985	-0.582204015225708	1.0235547774531732	0.9126496020333283	2.794569436235361	0.19329107067408172	-0.030975513865793523
R95-1D06	0.07865381396591144	0.5522711468748835	0.20428491066050403	0.18578474069836448	0.7432065163283635	1.3953272574548894	0.608060527170084	0.586993286	0.053279085	0.1334327316874766	0.0638619149420744	0.2619396991605068	0.5880609524600515	0.3817471440811164	0.8456285012456957	-0.1248106998013725	-0.08354280282338811	0.04545571146949668	-0.021357381382783563	-0.011089575846468299	9.721911808083663	3.6312566069730727	0.128360029725644	-0.6137716986248827	-0.1886038273458508	-0.14529101617554455	-0.5048442652303575	-0.7834087487835393	1.510411225444531	0.4155208470195125	0.128360029725644	-0.6137716986248827	-0.1248106998013725	-0.1886038273458508	-0.08354280282338811	-0.14529101617554455	0.04545571146949668	-0.021357381382783563	-0.5048442652303575	-0.011089575846468299	-0.7834087487835393	9.721911808083663	1.510411225444531	3.6312566069730727	0.4155208470195125
SFV019-4E01	0.17256702190419176	1.0073569456520768	0.4423904025593376	0.27311151189481986	1.246446605257262	0.05978315843882947	0.0613511891901569	0.599332997	0.086944896	0.1614711104878219	0.10417533848157094	0.46086587176755367	0.6591824801055425	0.08632168746083589	0.5946556035751858	0.6803612164347032	0.7928976096323702	0.7997918301717422	0.3233370511798101	0.7121166744530492	-0.086844575989477	-0.08254619464669931	0.16850904916443157	-0.2400303268857683	-0.009249695186267878	0.19313733266656513	0.21110156177849446	-0.5960663585708775	-0.3409168849962004	-0.33996175052843075	0.16850904916443157	-0.2400303268857683	0.6803612164347032	-0.009249695186267878	0.7928976096323702	0.19313733266656513	0.7997918301717422	0.3233370511798101	0.21110156177849446	0.7121166744530492	-0.5960663585708775	-0.086844575989477	-0.3409168849962004	-0.08254619464669931	-0.33996175052843075
051-09-5D01	0.19890651128666836	0.7436024410520262	0.07426379649738864	0.2162926639797182	0.5237312425397261	0.03607376333832247	0.17501048154116078	0.33156087	0.069835602	0.4493950135786904	5.162757243419552	0.5420766796052583	0.7249010450746545	0.08837240766807408	0.49315122050871385	0.9061847997660937	0.2849382151184814	-0.3664609638872319	0.09906286500961027	-0.3264974562638935	-0.2609756142127337	0.689542681542895	-0.7027259685834327	-0.42996934273326415	1.8325237587848515	42.65957583530223	0.50338355874968	-0.4229560015488978	-0.3280657380106217	-0.6455118545170909	-0.7027259685834327	-0.42996934273326415	0.9061847997660937	1.8325237587848515	0.2849382151184814	42.65957583530223	-0.3664609638872319	0.09906286500961027	0.50338355874968	-0.3264974562638935	-0.4229560015488978	-0.2609756142127337	-0.3280657380106217	0.689542681542895	-0.6455118545170909
024-10128-3E01	0.07744767286199047	0.4632472003517651	0.12595087215925826	0.12283421071989228	0.5528682936863041	0.04269492757157506	0.03014151460528686	0.39439699	0.06885241	0.15728954130947936	0.0726331445703651	0.3934866010760947	0.6696835078145472	0.1059378696924497	0.6711472322467861	-0.13515164081718123	-0.2549921968031844	-0.20271241810228263	-0.2698344166968382	-0.28462460477991897	-0.2123472035217198	-0.2945538719605764	-0.49827964051805146	-0.44088425955386057	-0.035998093030070774	-0.0716571617471522	-0.03140000071696289	-0.5684054281068921	-0.21798912514647045	-0.10970543657631425	-0.49827964051805146	-0.44088425955386057	-0.13515164081718123	-0.035998093030070774	-0.2549921968031844	-0.0716571617471522	-0.20271241810228263	-0.2698344166968382	-0.03140000071696289	-0.28462460477991897	-0.5684054281068921	-0.2123472035217198	-0.21798912514647045	-0.2945538719605764	-0.10970543657631425
R95-2A07	0.14556098145462462	0.964659159647833	0.13368095515751743	0.8738803759713906	0.7164267137161053	1.3592114549261454	4.300798237815424	0.494953119	0.237882531	0.12926969045961595	0.1351896186218158	0.29302953681543087	0.6573947495383404	0.11924847386450216	1.958570278495054	0.4488229076483883	0.7106668186978706	-0.17822293337997916	2.694679537188877	-0.04957482584353052	9.456663278379004	28.716066217349937	-0.17110585355413965	1.4356054910649052	-0.21523370676520998	0.45350002818673785	-0.3929502935135506	-0.6007754491740108	-0.1345762197300496	3.7657158385911753	-0.17110585355413965	1.4356054910649052	0.4488229076483883	-0.21523370676520998	0.7106668186978706	0.45350002818673785	-0.17822293337997916	2.694679537188877	-0.3929502935135506	-0.04957482584353052	-0.6007754491740108	9.456663278379004	-0.1345762197300496	28.716066217349937	3.7657158385911753
K77-1F06	0.07850692253354687	0.7489455233187339	0.31979332201189425	0.202723773893182	0.794223707474925	0.0145416724318495	3.1201703359631523	0.548864259	0.062415029	0.1829160622390817	0.1938933812655465	0.4735643379158628	1.1859830625099248	0.13384991552882497	6.106259588696693	-0.12607008448934282	0.2952283477444635	0.4113950520593007	0.04550402154383191	0.06222722128797339	-0.4191156818427807	20.69604734265783	0.004301772104776001	-0.5123489156510304	0.12792801890125138	0.9463139774379705	0.2568040137441993	0.7915877532051684	-0.043074086788045	16.251155991602435	0.004301772104776001	-0.5123489156510304	-0.12607008448934282	0.12792801890125138	0.2952283477444635	0.9463139774379705	0.4113950520593007	0.04550402154383191	0.2568040137441993	0.06222722128797339	0.7915877532051684	-0.4191156818427807	-0.043074086788045	20.69604734265783	16.251155991602435
K77-1F11	0.1693143149889764	1.1723920908363166	0.5334666386411486	0.26575669940364643	1.8161283789324405	0.104580931279524	0.10199626372708208	0.608835058	0.100666772	0.23718181007638744	0.1794584127739075	0.5210887882648202	1.4895215335627994	0.1967563762987588	0.8072034081757118	0.6524738902813948	1.1107354131929852	1.0883282006858372	0.294306286804633	1.5308062591411526	0.2421677274358829	0.19355626273042234	0.19942536736649877	-0.08769676928711027	0.4750517302490301	0.8251334344997838	0.42784702664847574	1.5911434513334775	0.3511387223721551	0.2998530223540608	0.19942536736649877	-0.08769676928711027	0.6524738902813948	0.4750517302490301	1.1107354131929852	0.8251334344997838	1.0883282006858372	0.294306286804633	0.42784702664847574	1.5308062591411526	1.5911434513334775	0.2421677274358829	0.3511387223721551	0.19355626273042234	0.2998530223540608
