,0,1,2
0,034-100809_3E01,Overlap1,13
7,034-100809_3E01,Overlap2,0
47,034-100809_3E01,Overlap3,0
77,037-10036_4D02,Overlap1,15
78,037-10036_4D02,Overlap2,0
122,037-10036_4D02,Overlap3,13
139,042_10_4C06,Overlap1,13
101,042_10_4C06,Overlap2,0
198,042_10_4C06,Overlap3,4
204,051_09_4D03,Overlap1,16
182,051_09_4D03,Overlap2,0
245,051_09_4D03,Overlap3,15
207,051_09_5D01,Overlap1,0
290,051_09_5D01,Overlap2,1
313,051_09_5D01,Overlap3,0
343,150055-015_1D02,Overlap1,17
234,150055-015_1D02,Overlap2,0
381,150055-015_1D02,Overlap3,10
401,150055-037_2G02,Overlap1,0
292,150055-037_2G02,Overlap2,0
360,150055-037_2G02,Overlap3,0
467,2-12C,Overlap1,16
366,2-12C,Overlap2,0
500,2-12C,Overlap3,10
520,31.a.55_Heavy,Overlap1,17
330,31.a.55_Heavy,Overlap2,0
482,31.a.55_Heavy,Overlap3,0
593,AG13-3E05,Overlap1,13
386,AG13-3E05,Overlap2,0
640,AG13-3E05,Overlap3,15
655,AG13-3F04,Overlap1,0
591,AG13-3F04,Overlap2,0
713,AG13-3F04,Overlap3,13
730,AG8-2B02,Overlap1,19
598,AG8-2B02,Overlap2,0
771,AG8-2B02,Overlap3,1
800,C2-3-G05,Overlap1,10
840,C2-3-G05,Overlap2,4
846,C2-3-G05,Overlap3,0
876,C8-A06,Overlap1,17
574,C8-A06,Overlap2,0
898,C8-A06,Overlap3,16
912,K77-1C04,Overlap1,19
923,K77-1C04,Overlap2,1
952,K77-1C04,Overlap3,10
972,K77-2G06,Overlap1,1
648,K77-2G06,Overlap2,0
1023,K77-2G06,Overlap3,10
743,R95-1A10,Overlap1,0
691,R95-1A10,Overlap2,0
920,R95-1A10,Overlap3,0
1109,R95-1G06,Overlap1,1
968,R95-1G06,Overlap2,0
1188,R95-1G06,Overlap3,8
1210,R95-1H06,Overlap1,8
850,R95-1H06,Overlap2,0
1242,R95-1H06,Overlap3,0
1272,R95-1H10,Overlap1,15
1287,R95-1H10,Overlap2,1
1313,R95-1H10,Overlap3,12
834,R95-2F01,Overlap1,0
848,R95-2F01,Overlap2,0
1383,R95-2F01,Overlap3,10
1403,W85-1D12,Overlap1,17
984,W85-1D12,Overlap2,0
1446,W85-1D12,Overlap3,13
944,W85-2D05,Overlap1,0
1296,W85-2D05,Overlap2,0
1543,W85-2D05,Overlap3,8
1545,W85-2D08,Overlap1,12
1363,W85-2D08,Overlap2,0
1590,W85-2D08,Overlap3,10
1630,W85-2E02,Overlap1,8
1038,W85-2E02,Overlap2,0
1662,W85-2E02,Overlap3,15
