,0,1,2
226,01.y.01_Heavy,Overlap1,14
183,01.y.01_Heavy,Overlap2,0
272,01.y.01_Heavy,Overlap3,10
0,014_10_3A02,Overlap1,0
14,014_10_3A02,Overlap2,0
60,014_10_3A02,Overlap3,16
74,017_10_5E01,Overlap1,12
73,017_10_5E01,Overlap2,0
122,017_10_5E01,Overlap3,16
136,019_10_4A03,Overlap1,0
136,019_10_4A03,Overlap2,0
196,019_10_4A03,Overlap3,0
213,024-10128_3G04,Overlap1,0
224,024-10128_3G04,Overlap2,0
337,024-10128_3G04,Overlap3,1
358,024-10128_4B04,Overlap1,12
313,024-10128_4B04,Overlap2,0
350,024-10128_4B04,Overlap3,0
450,029_09_3A02,Overlap1,3
301,029_09_3A02,Overlap2,0
487,029_09_3A02,Overlap3,10
340,034-100809_2F01,Overlap1,0
537,034-100809_2F01,Overlap2,12
346,034-100809_2F01,Overlap3,0
585,041-102909_3G01,Overlap1,17
366,041-102909_3G01,Overlap2,0
628,041-102909_3G01,Overlap3,0
658,220-14-IgG_1A03,Overlap1,0
429,220-14-IgG_1A03,Overlap2,0
718,220-14-IgG_1A03,Overlap3,14
751,240-14-IgA_2F02,Overlap1,8
753,240-14-IgA_2F02,Overlap2,1
782,240-14-IgA_2F02,Overlap3,13
799,AG11-2A01,Overlap1,0
615,AG11-2A01,Overlap2,0
859,AG11-2A01,Overlap3,22
867,AG13-3E04,Overlap1,18
634,AG13-3E04,Overlap2,0
726,AG13-3E04,Overlap3,0
939,AG7-3B02,Overlap1,13
976,AG7-3B02,Overlap2,4
982,AG7-3B02,Overlap3,22
990,C1-2-2F03,Overlap1,17
554,C1-2-2F03,Overlap2,0
1033,C1-2-2F03,Overlap3,16
1047,C1-3A03,Overlap1,13
600,C1-3A03,Overlap2,0
1094,C1-3A03,Overlap3,13
1111,C1-3E05,Overlap1,18
1123,C1-3E05,Overlap2,0
1153,C1-3E05,Overlap3,17
863,C3-2-3F02,Overlap1,0
893,C3-2-3F02,Overlap2,0
1226,C3-2-3F02,Overlap3,0
1256,D1_H1-17_H3-14,Overlap1,12
734,D1_H1-17_H3-14,Overlap2,0
1304,D1_H1-17_H3-14,Overlap3,16
1318,K77-1E03,Overlap1,15
785,K77-1E03,Overlap2,0
1363,K77-1E03,Overlap3,10
874,K77-2F01,Overlap1,0
856,K77-2F01,Overlap2,0
1443,K77-2F01,Overlap3,0
1473,R95-1A03,Overlap1,19
1243,R95-1A03,Overlap2,0
1514,R95-1A03,Overlap3,13
1531,R95-1A04,Overlap1,10
1551,R95-1A04,Overlap2,0
1581,R95-1A04,Overlap3,1
1044,R95-1B02,Overlap1,0
1017,R95-1B02,Overlap2,0
1670,R95-1B02,Overlap3,16
1684,R95-1G10,Overlap1,19
1426,R95-1G10,Overlap2,0
1722,R95-1G10,Overlap3,13
