,0,1,2
0,01.r.01_Heavy,Overlap1,13
17,01.r.01_Heavy,Overlap2,0
47,01.r.01_Heavy,Overlap3,13
64,36.d.02_Heavy,Overlap1,13
77,36.d.02_Heavy,Overlap2,0
127,36.d.02_Heavy,Overlap3,9
128,AG1-E04,Overlap1,14
94,AG1-E04,Overlap2,0
166,AG1-E04,Overlap3,17
179,AG7-3B02,Overlap1,13
212,AG7-3B02,Overlap2,4
218,AG7-3B02,Overlap3,14
234,C1-E04,Overlap1,10
272,C1-E04,Overlap2,3
279,C1-E04,Overlap3,21
288,C3-2-3C01,Overlap1,15
323,C3-2-3C01,Overlap2,4
329,C3-2-3C01,Overlap3,18
341,C6-C01,Overlap1,0
281,C6-C01,Overlap2,0
398,C6-C01,Overlap3,1
427,K77-1E03,Overlap1,14
443,K77-1E03,Overlap2,0
470,K77-1E03,Overlap3,14
372,K77-1F01,Overlap1,0
536,K77-1F01,Overlap2,7
539,K77-1F01,Overlap3,19
433,K77-2B03,Overlap1,0
329,K77-2B03,Overlap2,0
606,K77-2B03,Overlap3,0
636,K77-2D02,Overlap1,0
666,K77-2D02,Overlap2,16
518,K77-2D02,Overlap3,0
569,K77-2F08,Overlap1,0
740,K77-2F08,Overlap2,10
760,K77-2F08,Overlap3,0
790,K77-2G04,Overlap1,19
529,K77-2G04,Overlap2,0
831,K77-2G04,Overlap3,15
846,R95-1A04,Overlap1,0
527,R95-1A04,Overlap2,0
906,R95-1A04,Overlap3,10
926,R95-1G07,Overlap1,0
596,R95-1G07,Overlap2,0
986,R95-1G07,Overlap3,10
1006,R95-1H06,Overlap1,0
644,R95-1H06,Overlap2,0
1060,R95-1H06,Overlap3,15
1075,R95-2A08,Overlap1,0
877,R95-2A08,Overlap2,0
1135,R95-2A08,Overlap3,14
1151,R95-2E02,Overlap1,0
1181,R95-2E02,Overlap2,19
1189,R95-2E02,Overlap3,15
1204,R95-2E07,Overlap1,19
758,R95-2E07,Overlap2,0
1242,R95-2E07,Overlap3,0
1272,R95-2G12,Overlap1,13
815,R95-2G12,Overlap2,0
1308,R95-2G12,Overlap3,10
979,SFV019_4E01,Overlap1,0
1358,SFV019_4E01,Overlap2,0
1006,SFV019_4E01,Overlap3,0
1418,W85-1C01,Overlap1,19
715,W85-1C01,Overlap2,0
716,W85-1C01,Overlap3,0
1489,W85-1E02,Overlap1,19
1192,W85-1E02,Overlap2,0
1530,W85-1E02,Overlap3,14
1546,W85-1H07,Overlap1,13
957,W85-1H07,Overlap2,0
1588,W85-1H07,Overlap3,0
1618,W85-3B05,Overlap1,16
1632,W85-3B05,Overlap2,19
1634,W85-3B05,Overlap3,18
