closest_abs	Full_HA_SP16_H3_avg_enrich	Full_HA_SP16_H3_avg_enrich_normalized
56.e.01	9.24026406030208	28.672117726099124
240-14-IgA-2F02	23.137708459214306	72.70026753546966
042-100809-2F04	4.24371865386777	12.842685827020556
31.a.55	94.6856543143688	299.36954486749767
01.ad.01	13.62466624227853	42.56223381878876
56.j.01	3.330074999701024	9.948193967698362
017-10-5E01	9.80210701035468	30.452078477457896
01.h.02	5.970473772893036	18.31317600365278
AG2-B01	1.9274475315911848	5.50456458375841
037-10-5E04	32.41078191028654	102.07806214129384
01.z.01	1.9711856220966677	5.643130146309027
W85-2E09	2.84830326670511	8.421904858319056
01.q.01	17.284396425452066	54.15653447879007
C1-F02	2.3454598088436676	6.828858938659298
D1-H1-17-H3-14	7.1638340640411435	22.09383122104911
