closest_abs	Full_HA_H3_stem_avg_enrich	Full_HA_H3_stem_avg_enrich_normalized
240-14-IgA-2F02	31.20664816	345.23569832856106
042-100809-2F04	4.423355391	47.90067856098841
31.a.55	18.77700121	207.24783576597795
01.ad.01	29.76864329	329.27167142062984
56.j.01	30.99526353	342.889009529626
01.h.02	2.71762091	28.964448426753812
009-10-1G06	8.938123711	98.02142880820796
051-10-2B05	5.376468429	58.48167345353844
009-10-2F01	17.77302995	196.10223776155004
56.b.16	3.311116346	35.55314454851199
AG2-G02	11.50513169	126.51909616981445
029-09-2A06	3.97340771	42.9055794229408
