closest_abs	Full_HA_MI15_H1_avg_enrich	CR9114_compitition_MI15_H1_avg_enrich	Full_HA_MI15_H1_avg_enrich_normalized	CR9114_compitition_MI15_H1_avg_enrich_normalized	competition_index
051-09-5D01	0.7436024410520262	5.162757243419552	0.2849382151184814	42.65957583530223	0.14403203675706844
008-10-5E02	0.8645674150094875	2.223095881684705	0.5179021791728363	17.981325926009195	0.3889024410203583
029-09-3A02	1.225564283395882	4.717395046342697	1.213138649029616	38.92079158529316	0.25979683095356576
SFV020-5C05	0.6904120079335565	1.142210144827124	0.1824998501633139	8.907366358836537	0.6044527016856883
150055-023-2E04	3.992989707002994	14.031555711828425	6.542866551381209	117.1125137986685	0.28457213077498983
014-10-3A02	6.039603267787574	28.69024042646742	10.484397660836429	240.17113865874657	0.2105107234380615
31.a.55	3.6026801731149782	0.05851062774720111	5.791177419825362	-0.1902146949538195	61.57309042522304
150055-029-2B03	2.1008710077545385	4.243619411853523	2.8988739292416734	34.94347853112638	0.4950658397608099
017-10-5E01	2.634246148024094	1.839464320195948	3.9260901798642687	14.760766010249144	1.4320724349486063
045-09-1G05	2.3643214034848477	6.177056040632284	3.406247646716323	51.1745427379998	0.38275861315365944
009-10-1G06	6.968273144811727	18.13718416573986	12.272903943039225	151.5789752554863	0.3841981798902616
C7-3-C02	1.0080393271136292	3.998078319560613	0.7942117941031275	32.88217836999858	0.2521309605621763
037-10-5E04	3.549347319928287	6.129859774181845	5.68846477097984	50.77833340810536	0.5790258587770093
220-14-IgG-1A03	1.377373253902249	1.041888314051708	1.505504433860941	8.065171661358715	1.3219970272494017
236-14-IgG-1F03	4.987882968676519	26.735472774704203	8.45891109277	223.7610020175841	0.1865642328717602
01.d.04	2.227474023840854	0.19288400024461969	3.14269608307504	0.9378402949205294	11.548257092428212
042-10-2D01	1.7041476759290393	6.618296193426488	2.1348325956948164	54.87872271682697	0.2574903912009341
236-14-IgG-1A06	1.855681132387387	5.471880229916199	2.426667773667979	45.25464151625849	0.3391304367814729
014-10-1B04	3.405972653092954	3.2910812322670795	5.412342438719613	26.946987659774923	1.0349099316356682
009-10-2F01	2.3475754892498797	22.557081963644748	3.3739970337143785	188.6837057016693	0.10407265855723127
013-10-3F02	0.9806921702328196	5.120666521029486	0.7415444651719435	42.306227187894855	0.19151650790093944
028-10134-4D06	2.2125816173799997	0.13068563336232447	3.114015102705885	0.415689389428026	16.930565054887417
FISW-k.01	1.0610501817312854	1.2969299211065777	0.8963043125042076	10.206227974203328	0.8181245296784941
029-09-2A06	0.5928951241593098	0.988038236030102	-0.00530591759773509	7.61310405236451	0.6000730564249604
045-09-1A01	0.8065880878893714	2.902168100525066	0.40624098141276127	23.682089334046985	0.2779260401020333
AG11-3C06	4.03768918378672	0.08929841951229547	6.628952357561388	0.06824664662257271	45.215684732592294
2-12C	2.6365681723391514	9.693796793858388	3.930562118900576	80.6973334594085	0.27198508782539965
