closest_abs	Full_HA_Lee_FluB_avg_enrich	CR9114_compitition_Lee_FluB_avg_enrich	Full_HA_Lee_FluB_avg_enrich_normalized	CR9114_compitition_Lee_FluB_avg_enrich_normalized	competition_index
042-100809-3G04	20.04629934971531	1.1514855303275662	135.675435812804	1.3362165275245383	17.40907620785533
R95-2A07	4.300798237815424	1.958570278495054	28.716066217349937	3.7657158385911753	2.1958866041407075
K77-1F06	3.1201703359631523	6.106259588696693	20.69604734265783	16.251155991602435	0.5109789865040957
150055-015-1D02	38.111445301456655	31.565494593282615	258.3921794029974	92.8889490416691	1.2073767825442872
011-10069-2G04	10.336660083867724	1.1099815912203617	69.71774494646274	1.2112807116805997	9.312460824240475
C1-2D03	11.904072335077398	1.303204885643185	80.36519434131718	1.7929245374970886	9.13445956673363
R95-2G09	2.1599420968027294	2.2534464529355653	14.173205903795612	4.653356776274363	0.9585060670019349
K77-2A04	22.721583938845875	0.8584773806892053	153.84867470232902	0.45419874773175206	26.46730647766685
R95-2F07	10.5371328818214	7.731609814975558	71.07955896163922	21.14381102436369	1.36286402624868
R95-1C11	1.4603713882735514	1.0410680859478514	9.421014059283564	1.0038361849900688	1.402762612729542
034-100809-1F05	7.68488980181597	7.825890093894621	51.704239014545706	21.427615015457693	0.9819828427965462
W85-2C10	25.327493965432517	16.696413860699778	171.55065139302505	48.12980636424163	1.516942151574757
W85-1H07	6.893948074384033	3.317148007747217	46.33136279094156	7.855328069206201	2.0782756929395916
019-10117-3E02	4.123683709128886	4.105187945816389	27.51292519313758	10.22749839082246	1.0045054607868433
019-10-4A03	27.58423720581547	23.76692742213889	186.88073410139543	69.41357844072606	1.1606143577533188
R95-1E05	5.797019331339365	1.3885174490539676	38.87991326174747	2.049733769120448	4.174970458807718
R95-1A04	6.160977119499556	1.1086339610952587	41.352282689961406	1.2072240541016477	5.557268977591945
017-10116-3D04	8.241906404168315	1.337141309951666	55.48805918123328	1.8950805002565407	6.1638260240918274
R95-1G07	26.78959266811424	4.261114428710272	181.48270464517452	10.696870762965364	6.286992080666266
AG12-C05	3.5773209292169024	3.831399901052248	23.801476564447075	9.403337275595035	0.9336850815897432
W85-3B07	2.0228081274083616	1.203459167923954	13.241653277283236	1.4926683958329794	1.6808282169621414
K77-2E07	18.597171324601128	9.6452392780777	125.83149252209626	26.90424878855083	1.9281192294389147
K77-2G04	6.415702641168908	2.9527240631808533	43.082636079415366	6.758333330710122	2.172808059232438
034-100809-2E03	1.7693509339632958	8.897202548448833	11.519915655999858	24.652496759520133	0.1988659833614522
R95-2A04	1.669642031829666	0.6279752603502323	10.842591940515964	-0.23966239118140775	2.6587703963026805
K77-2C09	0.9003420610113918	0.9476808493249512	5.616728417738865	0.72272044398158	0.9500477525241967
W85-2A08	11.6366226657871	7.96721100403553	78.54840567117549	21.8530214608232	1.4605641371733407
024-10128-4B04	9.615481023583236	6.052335533828563	64.81876732070947	16.088832946284704	1.5887223981286298
150055-008-3F01	2.0706318877763605	3.941767337954273	13.566520629823662	9.735567084826936	0.5253054557124095
150055-037-2G02	19.807739619065977	28.181529617123335	134.05489682711053	82.70248399333381	0.7028624736902367
024-10128-3G04	1.4799470020342402	0.6273908427242292	9.553991428019383	-0.24142161438934673	2.35889162106364
R95-2G10	10.041549836612514	1.010704883454573	67.7130576530415	0.9124363912178688	9.935194734877166
R95-1G10	3.812684283073578	1.6810114355240584	25.400302525937494	2.930203806788353	2.268089438597404
028-10134-4F05	6.317261739519429	7.926801722514795	42.413925905759555	21.73138080060972	0.7969496350055372
R95-2A08	0.9801354855244312	0.7098678341380777	6.158766065389657	0.0068519334304557	1.3807295363854777
K77-2G11	31.865228133448287	3.758697718461846	215.9615545598441	9.184488012345463	8.47773099095831
R95-1C09	1.102890702605047	0.6731204541530567	6.992643662563921	-0.10376561269443473	1.6384745045264477
W85-2E09	2.616947239097728	1.3169240591610722	17.277647075554274	1.834222211236791	1.9871663980114518
AG13-3B01	1.0918175434403152	1.200556112316569	6.91742356538996	1.483929571794805	0.9094265001354798
K77-2D08	1.0918175434403152	1.094590032509779	6.91742356538996	1.1649487975061514	0.9974670981946485
