closest_abs	Full_HA_SI06_H1_avg_enrich	CR9114_compitition_SI06_H1_avg_enrich	Full_HA_SI06_H1_avg_enrich_normalized	CR9114_compitition_SI06_H1_avg_enrich_normalized	competition_index
C2-3-G03	13.895757212114578	27.010667548096983	118.33715928455683	171.73799576931444	0.514454416477152
AG2-B02	27.239636003641607	42.33426207668664	232.7419026903701	269.75899826060993	0.6434418522353883
034-100809-1F04	13.00811304092888	20.994601156151035	110.72687555621188	133.25480191473213	0.6195932441954364
AG11-3F04	0.6059771529784023	2.7934105333545283	4.396235409364982	16.826574317542967	0.21693093290183213
31.a.55	1.136538981994381	0.5250042891059018	8.945046954928026	2.3161764011848036	2.1648184702070554
041-102909-3G02	8.728074255834173	5.97605149718435	74.03164273630598	37.18509119570878	1.4605085414585959
045-09-1G05	0.6750962908664829	1.6734781545951898	4.988833510566107	9.662661549971514	0.4034090848528507
009-10-1G06	3.81598304108829	5.373870052725234	31.917461111261193	33.33309493220731	0.7100996123181471
C6-2-C01	8.886605506740333	13.339057917925002	75.39082227960624	84.28430602838354	0.6662093801091101
220-14-IgG-1A03	33.73666285542134	33.83386466735347	288.4446486078846	215.38419252670124	0.9971270851589734
C1-2-C06	5.650025811290616	7.708508742844832	47.64176405183614	48.267164378741406	0.7329596423607959
AG6-3E02	1.0256013798712664	1.885093926979431	7.993915121130944	11.016311968831964	0.5440585029705298
C6-2-2C06	3.1836446129811096	6.354219082059979	26.496060276957103	39.6041297385299	0.5010284618560872
051-09-5B06	20.81379168798165	16.04985833027591	177.64944557321027	101.62458304215473	1.2968208977096836
051-10-2B05	0.6476250638551925	2.6011213648880283	4.753306889980709	15.596551099026058	0.2489791797481434
009-10-2F01	4.856965584947805	16.412283659125283	40.84240285277337	103.94292251503572	0.2959347818880352
034-100809-1F06	1.661457368139582	6.288274858975963	13.445474020712476	39.182301893689385	0.264215131399353
051-10-2A05	1.6921802608960914	0.33041220838660745	13.708879040902303	1.0714220588935603	5.12142172094353
AG11-2F01	1.8666736357338731	0.1240172847733326	15.204911048252868	-0.24883196400830732	15.051721533378252
028-10134-4D06	0.8804706434892013	0.1507266792309523	6.749625891927984	-0.0779789950272563	5.84150495440885
C1-F02	0.8733658887277478	0.14807721367035903	6.688712745297678	-0.09492692913181495	5.898043777835965
FISW-k.01	0.2923060887028248	2.318403952240258	1.7069530662832968	13.788082194567894	0.12608074120145085
AG13-3B01	0.9487456741238672	0.7334187985607784	7.334986976423351	3.6493491833530882	1.2935933411928282
K77-2D08	0.9487456741238672	0.5862902895218457	7.334986976423351	2.708206821217437	1.6182182974540227
