closest_abs	Full_HA_Phu_FluB_avg_enrich	CR9114_compitition_Phu_FluB_avg_enrich	Full_HA_Phu_FluB_avg_enrich_normalized	CR9114_compitition_Phu_FluB_avg_enrich_normalized	competition_index
042-100809-3G04	10.026770796146256	2.171442633679211	73.11459721344048	12.725807511623907	4.617561910515347
R95-1D06	1.3953272574548894	0.3817471440811164	9.721911808083664	1.510411225444531	3.655108568823766
R95-2A07	1.3592114549261454	0.11924847386450216	9.456663278379004	-0.1345762197300496	11.398145493002867
019-10117-3C04	0.8854095423226067	0.6754685059481667	5.976877370553179	3.3510603695036862	1.3108080310565215
AG13-3G01	16.220384183622443	43.60661544020632	118.60290785750358	272.3855574034245	0.371970720953199
011-10069-2G04	7.78133213923001	7.191790929364399	56.6232205697951	44.186576093769055	1.0819741863544015
C1-2D03	6.553447523254684	3.873649598724514	47.605157388859034	23.392943784267104	1.6918018411919742
K77-2A04	14.69539180537809	2.129318600417483	107.40276947436264	12.4618309139578	6.901452794568578
AG2-B02	1.246358014815413	1.8094494768332188	8.627823630203933	10.457322883646995	0.6888050928046402
AG11-2B01	5.751821525694567	6.615080286223708	41.71770363349468	40.57253200477561	0.8695013933047906
R95-1C11	0.7798344632216613	0.1369941493477452	5.201492842334787	-0.02337027208853059	5.6924654588141115
034-100809-1F05	3.2948737698983597	10.65151506005215	23.67292173317765	65.86745833996292	0.30933381320142717
019-10-4A03	2.892631709831792	6.044030566157524	20.71869927243865	36.993962942676504	0.47859316364622145
R95-1E05	2.785032626495473	0.9961250203428692	19.928449668271256	5.360502702897049	2.7958665525105038
R95-1A04	2.446000154096377	0.4602723572466819	17.438463054948095	2.0025012984358317	5.314245175895821
017-10116-3D04	3.698498863223565	3.248859474874698	26.63730172919762	19.477602389379655	1.1383991495557708
R95-1G07	13.760509101982851	20.49278107738236	100.53662653528372	127.53923378085358	0.6714808034118005
AG12-C05	1.965280685257953	5.783334841826816	13.907871918054123	35.36027392939187	0.33981789728729733
K77-2E07	6.117419805865579	6.967439639313337	44.40279989297091	42.78064495081061	0.878001119858782
034-100809-2E03	0.8399037138776881	8.11326667685459	5.6426648308096565	49.961142625490425	0.10352226141829571
037-10036-4D02	0.8025516114111331	0.1809815764951208	5.3683364325206755	0.2522835639604439	4.434438172952756
R95-2A04	0.9010431909880569	0.45349090949697934	6.091696979480032	1.960004334930597	1.9869046371569188
019-10117-3G01	2.331262954130239	1.0592934656193775	16.595788340209978	5.756357277418535	2.200771580108946
C1-3E05	5.073464149587419	5.9092213369275965	36.73558267734191	36.14916060751078	0.8585672900560676
K77-2C09	5.354806182118502	6.556724779459964	38.80186821574567	40.20683843419887	0.8166891797705658
K77-2D02	1.95155052852511	0.988383794814869	13.807032295755755	5.31199114741634	1.9744865696534903
W85-2A08	3.3646147224549643	6.5309121168366815	24.185126469902492	40.04507949688011	0.5151829732605026
150055-037-2G02	0.6394439015010761	2.19504618361745	4.1704098406166645	12.873722711643452	0.2913122768320384
R95-2G10	4.090203974734153	1.0139349473131576	29.51413673302429	5.472111292157423	4.033990529247315
R95-1G10	1.5558604391119262	0.8438085716995367	10.900930061089396	4.405988740959263	1.8438547453698264
028-10134-4F05	0.8740100126574712	1.2385497885901744	5.893154781789014	6.8796940185600794	0.7056720857805368
AG10-3A02	3.1819866448277536	4.41228143121816	22.84383468952874	26.768361272257657	0.7211658400378278
K77-2G11	13.214178587876294	13.141097709288257	96.5241623103999	81.46880290425499	1.0055612461154126
R95-1C09	7.439019422009571	0.9554306765277208	54.10914256004679	5.105485469437174	7.786037862050723
AG11-2C03	0.3314837260127988	1.9157130543124703	1.9086302860617983	11.123239593581022	0.17303412182038133
C1-2E01	1.049806736025118	1.429459796728732	7.184274433998124	8.076060332671135	0.7344080179292649
K77-2A10	5.342540020691326	4.775470354593849	38.71178074555616	29.04433935125696	1.1187463483156113
C1-2B06	5.010389351583941	4.072510929731064	36.27233677775195	24.639138260477356	1.2302948814712724
R95-1H10	0.8115623234721587	0.6922417724027264	5.4345146137718565	3.4561725695371197	1.172368319604982
W85-2F05	1.6085138702757027	2.116673040094033	11.287637380938696	12.38258560596402	0.7599255245412133
R95-1A10	0.7445463105517363	2.150670379715036	4.942322895765233	12.595635054175464	0.34619266512164854
AG3-D06	3.2065601889067796	5.8220084943122545	23.024312374647508	35.60262819634909	0.5507652886524286
AG13-3B01	4.160588410594955	2.5434273346682272	30.031067461929208	15.056905655545943	1.6358196492913275
K77-2D08	0.8691243888242378	0.5966741596737425	5.857272856212978	2.857283733358417	1.4566147615634457
