,0,1,2
0,008-10053_5D03,Overlap1,0
12,008-10053_5D03,Overlap2,0
60,008-10053_5D03,Overlap3,16
54,008-10053_6F06,Overlap1,0
120,008-10053_6F06,Overlap2,3
127,008-10053_6F06,Overlap3,0
157,008_10_1C03,Overlap1,13
111,008_10_1C03,Overlap2,0
224,008_10_1C03,Overlap3,9
225,008_10_5E02,Overlap1,14
184,008_10_5E02,Overlap2,0
214,008_10_5E02,Overlap3,0
297,009_10_1G06,Overlap1,18
254,009_10_1G06,Overlap2,0
339,009_10_1G06,Overlap3,0
369,009_10_2G06,Overlap1,0
268,009_10_2G06,Overlap2,0
321,009_10_2G06,Overlap3,0
440,01.ae.01_Heavy,Overlap1,13
286,01.ae.01_Heavy,Overlap2,0
487,01.ae.01_Heavy,Overlap3,16
344,01.e.01_Heavy,Overlap1,0
527,01.e.01_Heavy,Overlap2,0
557,01.e.01_Heavy,Overlap3,12
575,01.g.01_Heavy,Overlap1,12
589,01.g.01_Heavy,Overlap2,0
617,01.g.01_Heavy,Overlap3,14
633,01.h.02_Heavy,Overlap1,12
431,01.h.02_Heavy,Overlap2,0
570,01.h.02_Heavy,Overlap3,0
711,011-10069_2G04,Overlap1,21
740,011-10069_2G04,Overlap2,3
747,011-10069_2G04,Overlap3,0
777,014_10_1D01,Overlap1,0
738,014_10_1D01,Overlap2,0
836,014_10_1D01,Overlap3,12
874,019-10117_4G04,Overlap1,9
589,019-10117_4G04,Overlap2,0
905,019-10117_4G04,Overlap3,15
920,024-10128_3E01,Overlap1,18
607,024-10128_3E01,Overlap2,0
962,024-10128_3E01,Overlap3,0
901,024-10128_3E05,Overlap1,0
1022,024-10128_3E05,Overlap2,12
1040,024-10128_3E05,Overlap3,12
1058,024_10_4C04,Overlap1,12
752,024_10_4C04,Overlap2,0
782,024_10_4C04,Overlap3,0
1136,029_09_3A02,Overlap1,0
1064,029_09_3A02,Overlap2,0
1216,029_09_3A02,Overlap3,3
1223,039_10_4D04,Overlap1,12
789,039_10_4D04,Overlap2,0
886,039_10_4D04,Overlap3,0
1185,042_10_2C02,Overlap1,0
850,042_10_2C02,Overlap2,0
1377,042_10_2C02,Overlap3,7
1380,100F4,Overlap1,10
907,100F4,Overlap2,0
1449,100F4,Overlap3,9
1328,16.ND.89_Heavy,Overlap1,0
1125,16.ND.89_Heavy,Overlap2,0
1388,16.ND.89_Heavy,Overlap3,0
1418,K77-1G08,Overlap1,0
1020,K77-1G08,Overlap2,0
1620,K77-1G08,Overlap3,7
1623,K77-2B11,Overlap1,14
1159,K77-2B11,Overlap2,0
1667,K77-2B11,Overlap3,0
1697,R95-1D11,Overlap1,10
1717,R95-1D11,Overlap2,0
1119,R95-1D11,Overlap3,0
1347,W85-2A08,Overlap1,0
1173,W85-2A08,Overlap2,0
1820,W85-2A08,Overlap3,0
