,0,1,2
0,024-10128_3E06,Overlap1,0
10,024-10128_3E06,Overlap2,0
60,024-10128_3E06,Overlap3,15
73,034-100809_1F05,Overlap1,0
68,034-100809_1F05,Overlap2,0
134,034-100809_1F05,Overlap3,0
113,051_09_5D01,Overlap1,0
181,051_09_5D01,Overlap2,0
239,051_09_5D01,Overlap3,8
223,150055-008_3F01,Overlap1,0
141,150055-008_3F01,Overlap2,0
296,150055-008_3F01,Overlap3,13
313,56.d.01_Heavy,Overlap1,14
173,56.d.01_Heavy,Overlap2,0
350,56.d.01_Heavy,Overlap3,0
387,56.e.01_Heavy,Overlap1,15
220,56.e.01_Heavy,Overlap2,0
452,56.e.01_Heavy,Overlap3,9
413,AG10-A05,Overlap1,0
277,AG10-A05,Overlap2,0
513,AG10-A05,Overlap3,16
527,AG12-3A03,Overlap1,13
402,AG12-3A03,Overlap2,0
563,AG12-3A03,Overlap3,0
604,C1-C02,Overlap1,13
641,C1-C02,Overlap2,7
664,C1-C02,Overlap3,3
671,C2-3-D06,Overlap1,17
433,C2-3-D06,Overlap2,0
714,C2-3-D06,Overlap3,21
723,C2-3-F04,Overlap1,19
558,C2-3-F04,Overlap2,0
764,C2-3-F04,Overlap3,10
708,C6-2-C01,Overlap1,0
814,C6-2-C01,Overlap2,0
823,C6-2-C01,Overlap3,0
874,C7-3-A05,Overlap1,13
561,C7-3-A05,Overlap2,0
804,C7-3-A05,Overlap3,0
946,K77-2A04,Overlap1,27
834,K77-2A04,Overlap2,0
997,K77-2A04,Overlap3,7
1000,K77-2A09,Overlap1,27
644,K77-2A09,Overlap2,0
1030,K77-2A09,Overlap3,16
1044,K77-2C09,Overlap1,13
665,K77-2C09,Overlap2,0
1083,K77-2C09,Overlap3,10
1103,K77-2F02,Overlap1,13
715,K77-2F02,Overlap2,0
1147,K77-2F02,Overlap3,15
1026,R95-1D06,Overlap1,0
1056,R95-1D06,Overlap2,0
1222,R95-1D06,Overlap3,0
1252,R95-1E05,Overlap1,12
788,R95-1E05,Overlap2,0
1244,R95-1E05,Overlap3,0
1330,R95-1G06,Overlap1,0
1167,R95-1G06,Overlap2,0
1410,R95-1G06,Overlap3,7
1413,R95-2G09,Overlap1,12
880,R95-2G09,Overlap2,0
1461,R95-2G09,Overlap3,0
1511,W85-1E07,Overlap1,9
1430,W85-1E07,Overlap2,0
1542,W85-1E07,Overlap3,13
1559,W85-3C05,Overlap1,15
1594,W85-3C05,Overlap2,4
1515,W85-3C05,Overlap3,0
1630,W85-3D10,Overlap1,15
1645,W85-3D10,Overlap2,0
1695,W85-3D10,Overlap3,9
1696,W85-3F01,Overlap1,15
1123,W85-3F01,Overlap2,0
1651,W85-3F01,Overlap3,0
