,0,1,2
0,01.r.01_Heavy,Overlap1,14
15,01.r.01_Heavy,Overlap2,0
25,01.r.01_Heavy,Overlap3,0
76,024-10128_3E01,Overlap1,11
45,024-10128_3E01,Overlap2,0
125,024-10128_3E01,Overlap3,17
104,029_09_2A06,Overlap1,0
102,029_09_2A06,Overlap2,0
190,029_09_2A06,Overlap3,19
201,037-102909_2G04,Overlap1,14
234,037-102909_2G04,Overlap2,3
241,037-102909_2G04,Overlap3,14
257,037-10_5E04,Overlap1,14
256,037-10_5E04,Overlap2,0
300,037-10_5E04,Overlap3,10
301,039_10_4B05,Overlap1,0
196,039_10_4B05,Overlap2,0
380,039_10_4B05,Overlap3,14
396,041-102909_2C03,Overlap1,16
285,041-102909_2C03,Overlap2,0
437,041-102909_2C03,Overlap3,0
467,041-102909_3A03,Overlap1,14
446,041-102909_3A03,Overlap2,0
475,041-102909_3A03,Overlap3,0
505,051-10_2D06,Overlap1,0
535,051-10_2D06,Overlap2,0
603,051-10_2D06,Overlap3,14
464,150055-008_3F01,Overlap1,0
610,150055-008_3F01,Overlap2,0
673,150055-008_3F01,Overlap3,0
494,236-14-IgG_1B03,Overlap1,0
465,236-14-IgG_1B03,Overlap2,0
763,236-14-IgG_1B03,Overlap3,16
723,AG11-2B01,Overlap1,0
486,AG11-2B01,Overlap2,0
781,AG11-2B01,Overlap3,0
867,AG12-3D05,Overlap1,15
541,AG12-3D05,Overlap2,0
610,AG12-3D05,Overlap3,0
942,AG9-4A02,Overlap1,0
992,AG9-4A02,Overlap2,3
999,AG9-4A02,Overlap3,19
1030,C1-C02,Overlap1,8
757,C1-C02,Overlap2,0
978,C1-C02,Overlap3,0
1092,C2-3-D06,Overlap1,18
1104,C2-3-D06,Overlap2,1
1133,C2-3-D06,Overlap3,21
1055,C6-C01,Overlap1,0
863,C6-C01,Overlap2,0
1199,C6-C01,Overlap3,18
900,K77-2F08,Overlap1,0
930,K77-2F08,Overlap2,0
997,K77-2F08,Overlap3,0
1301,R95-1C09,Overlap1,16
1224,R95-1C09,Overlap2,0
1345,R95-1C09,Overlap3,16
1359,R95-1D06,Overlap1,0
1292,R95-1D06,Overlap2,0
1416,R95-1D06,Overlap3,16
1430,R95-1E05,Overlap1,15
1119,R95-1E05,Overlap2,0
1475,R95-1E05,Overlap3,0
1505,R95-2A05,Overlap1,15
1161,R95-2A05,Overlap2,0
1550,R95-2A05,Overlap3,0
1580,SFV018_4D01,Overlap1,11
1599,SFV018_4D01,Overlap2,0
1626,SFV018_4D01,Overlap3,0
1656,W85-1E07,Overlap1,15
1009,W85-1E07,Overlap2,0
1701,W85-1E07,Overlap3,19
1709,W85-3C05,Overlap1,0
1058,W85-3C05,Overlap2,0
1769,W85-3C05,Overlap3,10
